name;ort;x;y
12278798;matsimNetworkNode;736957.01;5696729.109999999
316059622;matsimNetworkNode;728302.96;5693084.58
312302426;matsimNetworkNode;736365.72;5698928.04
316059623;matsimNetworkNode;728293.8200000001;5692993.04
287625609;matsimNetworkNode;740656.8;5690682.83
316059624;matsimNetworkNode;728286.14;5692898.859999999
147976637;matsimNetworkNode;740467.48;5693907.49
427695755;matsimNetworkNode;727782.45;5693416.319999999
6685662966;matsimNetworkNode;738105.3500000001;5697561.96
130064622;matsimNetworkNode;738856.22;5694329.06
6685662965;matsimNetworkNode;738200.1100000001;5697583.81
130064623;matsimNetworkNode;738857.87;5694363.7299999995
3444639055;matsimNetworkNode;732450.52;5699562.9799999995
385297660;matsimNetworkNode;734331.42;5699217.54
130064620;matsimNetworkNode;738859.6100000001;5694192.06
265779456;matsimNetworkNode;737592.71;5700397.97
6685662972;matsimNetworkNode;738669.0;5697598.399999999
cluster_19815841_21633600_246764829;matsimNetworkNode;739982.71;5694512.76
3315606201;matsimNetworkNode;729487.66;5690679.66
6685662971;matsimNetworkNode;738691.3300000001;5697472.4799999995
147963327;matsimNetworkNode;739857.75;5694292.85
3893213228;matsimNetworkNode;733571.64;5693060.51
289403420;matsimNetworkNode;742984.87;5691321.71
100014751;matsimNetworkNode;735471.66;5689239.2299999995
130064638;matsimNetworkNode;738676.54;5694188.4799999995
317587031;matsimNetworkNode;731971.75;5688705.97
12351929;matsimNetworkNode;732382.81;5696303.81
25418926;matsimNetworkNode;732574.41;5692080.16
289404767;matsimNetworkNode;740034.3600000001;5690629.27
12351928;matsimNetworkNode;732645.8400000001;5696539.79
25418927;matsimNetworkNode;732153.23;5690952.569999999
395352874;matsimNetworkNode;727148.62;5692466.39
2049525274;matsimNetworkNode;734240.6100000001;5692149.37
283227980;matsimNetworkNode;727707.56;5697413.279999999
294163927;matsimNetworkNode;731545.22;5688588.54
192297766;matsimNetworkNode;741081.96;5695135.17
30216563;matsimNetworkNode;734772.4;5698940.96
30216566;matsimNetworkNode;734499.6000000001;5699536.609999999
30216565;matsimNetworkNode;734436.77;5699385.06
259402512;matsimNetworkNode;736540.27;5693783.609999999
2014125533;matsimNetworkNode;736802.96;5695829.17
309246417;matsimNetworkNode;728084.5800000001;5697378.9399999995
274245770;matsimNetworkNode;727569.0700000001;5693329.79
1306891167;matsimNetworkNode;736407.41;5687561.84
2393736368;matsimNetworkNode;729430.72;5695124.83
3444639075;matsimNetworkNode;732395.91;5699871.21
261667037;matsimNetworkNode;734219.64;5692096.87
67569064;matsimNetworkNode;738610.88;5691143.319999999
93775672;matsimNetworkNode;729275.65;5697771.71
130064643;matsimNetworkNode;738510.87;5694100.83
240475477;matsimNetworkNode;741490.24;5695624.67
12351930;matsimNetworkNode;732075.27;5696460.04
5351890396;matsimNetworkNode;733297.01;5695822.72
5351890395;matsimNetworkNode;733248.67;5695837.649999999
196383589;matsimNetworkNode;734866.65;5689347.21
10917284;matsimNetworkNode;735637.5;5700346.74
10917280;matsimNetworkNode;735714.01;5700476.35
427695760;matsimNetworkNode;727814.93;5693536.449999999
427695763;matsimNetworkNode;727760.13;5693693.6
1690724306;matsimNetworkNode;730038.98;5684681.72
2586468800;matsimNetworkNode;730122.65;5693194.39
1221256602;matsimNetworkNode;734812.48;5692783.149999999
59694902;matsimNetworkNode;734500.78;5691575.59
cluster_147958085_147959978;matsimNetworkNode;739489.56;5694332.069999999
344901852;matsimNetworkNode;727838.47;5697574.67
59694900;matsimNetworkNode;734311.97;5691801.149999999
3187577371;matsimNetworkNode;729597.5800000001;5687296.92
3187577373;matsimNetworkNode;730301.81;5688475.17
1719964572;matsimNetworkNode;731526.68;5691814.58
344901854;matsimNetworkNode;727880.44;5697576.699999999
7095887862;matsimNetworkNode;734953.51;5692678.569999999
282015659;matsimNetworkNode;728980.65;5697327.38
3187577378;matsimNetworkNode;730224.97;5688557.46
309246411;matsimNetworkNode;728079.44;5697291.29
3187577375;matsimNetworkNode;730369.5900000001;5688546.449999999
3187577374;matsimNetworkNode;730305.0700000001;5688533.96
9241260281;matsimNetworkNode;740716.64;5697891.63
282557849;matsimNetworkNode;741416.5;5690309.96
2773962211;matsimNetworkNode;732598.3400000001;5693776.74
282557850;matsimNetworkNode;741399.47;5690246.21
181319976;matsimNetworkNode;732844.38;5695778.699999999
cluster_1842054148_310597318;matsimNetworkNode;738892.8200000001;5689892.68
130064662;matsimNetworkNode;738658.04;5693765.05
181319977;matsimNetworkNode;732891.67;5695738.16
1197261669;matsimNetworkNode;736635.74;5699771.74
130064660;matsimNetworkNode;738552.56;5693805.609999999
6475197116;matsimNetworkNode;730163.1100000001;5694528.39
6475197115;matsimNetworkNode;729839.94;5694469.63
6475197118;matsimNetworkNode;729074.77;5694984.88
6475197117;matsimNetworkNode;729734.7;5694609.569999999
6475197119;matsimNetworkNode;729414.52;5694845.899999999
3908763510;matsimNetworkNode;731398.8;5688458.43
6475197121;matsimNetworkNode;729557.0800000001;5694822.09
289404795;matsimNetworkNode;739886.1000000001;5690706.109999999
6475197120;matsimNetworkNode;729418.12;5694877.6
9241260279;matsimNetworkNode;740704.3200000001;5697957.47
391276447;matsimNetworkNode;729627.2;5684891.68
3746512686;matsimNetworkNode;742776.06;5685787.47
cluster_262237054_308299685;matsimNetworkNode;728281.29;5683138.199999999
316059653;matsimNetworkNode;728486.79;5693203.01
382102721;matsimNetworkNode;742774.44;5693268.72
4705804899;matsimNetworkNode;730465.47;5688537.109999999
268527247;matsimNetworkNode;734270.3600000001;5695427.04
96608936;matsimNetworkNode;731128.51;5686999.069999999
242614623;matsimNetworkNode;739827.94;5687545.31
298867657;matsimNetworkNode;731048.99;5696806.17
2590098578;matsimNetworkNode;740533.18;5690683.63
317954273;matsimNetworkNode;731155.74;5696820.51
293587342;matsimNetworkNode;735782.67;5695751.399999999
297918230;matsimNetworkNode;734790.04;5692650.09
293587340;matsimNetworkNode;735778.7;5695840.71
1999714707;matsimNetworkNode;741473.3400000001;5689437.05
274245769;matsimNetworkNode;727279.56;5693357.74
5490280174;matsimNetworkNode;739880.31;5694469.38
2042024794;matsimNetworkNode;734070.41;5692788.84
3368192340;matsimNetworkNode;741873.55;5694131.18
265599428;matsimNetworkNode;736886.1100000001;5689286.59
93775636;matsimNetworkNode;729524.25;5697839.09
2590098571;matsimNetworkNode;740541.5;5689151.62
298867648;matsimNetworkNode;730951.01;5696830.8
cluster_1100446920_1100446930;matsimNetworkNode;733908.14;5693217.9399999995
143576383;matsimNetworkNode;738264.17;5694958.84
3662761586;matsimNetworkNode;743092.49;5692832.58
391956815;matsimNetworkNode;730831.14;5684798.97
289404774;matsimNetworkNode;739965.28;5690666.29
3368192335;matsimNetworkNode;741861.16;5694473.37
288379402;matsimNetworkNode;728937.72;5689627.51
97657733;matsimNetworkNode;732654.99;5695917.93
262686008;matsimNetworkNode;732371.65;5698419.27
266647406;matsimNetworkNode;728784.1000000001;5691096.3
262686009;matsimNetworkNode;732325.47;5698412.029999999
788517479;matsimNetworkNode;734379.18;5693391.21
391277762;matsimNetworkNode;729933.51;5684719.13
369814619;matsimNetworkNode;733646.25;5692053.24
3908763508;matsimNetworkNode;728155.73;5685688.26
2590098564;matsimNetworkNode;740511.3200000001;5689135.18
5208065389;matsimNetworkNode;738826.96;5689358.279999999
144246474;matsimNetworkNode;737425.8200000001;5690284.71
2049525297;matsimNetworkNode;734182.4;5692176.21
2049525295;matsimNetworkNode;734209.5900000001;5692169.67
245471094;matsimNetworkNode;741185.65;5692604.41
60302623;matsimNetworkNode;737989.77;5697544.02
3368192321;matsimNetworkNode;741870.46;5694594.01
2078513064;matsimNetworkNode;734166.8;5696463.67
3143677916;matsimNetworkNode;739948.94;5691467.029999999
cluster_31069138_59766066;matsimNetworkNode;736592.16;5693937.56
144204634;matsimNetworkNode;737083.0900000001;5692463.16
248924575;matsimNetworkNode;741021.38;5694630.09
217603498;matsimNetworkNode;739128.27;5693395.76
2675091557;matsimNetworkNode;733636.8600000001;5692069.859999999
97657705;matsimNetworkNode;732693.89;5695947.27
197781775;matsimNetworkNode;736769.81;5692104.109999999
4591603985;matsimNetworkNode;728050.97;5693110.05
417408172;matsimNetworkNode;733567.87;5694152.62
308632932;matsimNetworkNode;736328.96;5689685.25
203589469;matsimNetworkNode;740893.97;5694760.529999999
1130932599;matsimNetworkNode;728317.94;5698018.46
cluster_268772953_269543187;matsimNetworkNode;741115.87;5691598.37
203589466;matsimNetworkNode;741096.8400000001;5694694.43
313582831;matsimNetworkNode;741901.51;5702953.26
cluster_25924939_25925181;matsimNetworkNode;735082.24;5689778.319999999
760466914;matsimNetworkNode;734712.77;5691807.04
9546963700;matsimNetworkNode;734239.49;5698392.06
760466910;matsimNetworkNode;734660.0900000001;5691506.02
268872531;matsimNetworkNode;729150.02;5690359.069999999
301770169;matsimNetworkNode;729963.3200000001;5697482.569999999
268872532;matsimNetworkNode;729184.63;5690250.81
3320035726;matsimNetworkNode;736648.49;5695594.609999999
