name;ort;x;y
3096930164;matsimNetworkNode;733351.8200000001;5698244.87
3096930167;matsimNetworkNode;733364.56;5698426.38
299330007;matsimNetworkNode;732218.94;5698920.76
3096930169;matsimNetworkNode;733302.6000000001;5698404.37
342286814;matsimNetworkNode;732345.53;5698595.33
3444639055;matsimNetworkNode;732450.52;5699562.9799999995
385297660;matsimNetworkNode;734331.42;5699217.54
265779456;matsimNetworkNode;737592.71;5700397.97
1516723289;matsimNetworkNode;736358.54;5699921.819999999
994416717;matsimNetworkNode;735916.8600000001;5700130.26
4585601495;matsimNetworkNode;734467.16;5698499.859999999
313053370;matsimNetworkNode;734732.65;5698350.8
319063830;matsimNetworkNode;734868.64;5699665.2299999995
4585601496;matsimNetworkNode;734610.04;5698549.17
3131307067;matsimNetworkNode;734383.18;5698613.779999999
1704363749;matsimNetworkNode;736461.67;5699672.74
298856723;matsimNetworkNode;731302.8400000001;5697357.699999999
319069013;matsimNetworkNode;733767.77;5698393.37
319067076;matsimNetworkNode;733835.05;5698635.97
270698510;matsimNetworkNode;735174.38;5698739.08
270698631;matsimNetworkNode;735367.45;5698515.3
2629739432;matsimNetworkNode;734846.22;5699125.149999999
261705989;matsimNetworkNode;732479.72;5696934.33
4806146376;matsimNetworkNode;732411.19;5698418.27
cluster_317672617_332473551;matsimNetworkNode;731461.15;5698023.99
1516723055;matsimNetworkNode;732576.3600000001;5700011.01
30216563;matsimNetworkNode;734772.4;5698940.96
30216566;matsimNetworkNode;734499.6000000001;5699536.609999999
cluster_320165824_5803901819;matsimNetworkNode;733505.03;5700062.1899999995
30216565;matsimNetworkNode;734436.77;5699385.06
319068035;matsimNetworkNode;733851.79;5698423.6899999995
298853684;matsimNetworkNode;732439.02;5698744.609999999
298856716;matsimNetworkNode;731460.06;5697269.92
261705990;matsimNetworkNode;732574.12;5696955.569999999
cluster_270698194_79830673;matsimNetworkNode;734951.3500000001;5698633.49
342286915;matsimNetworkNode;732316.5800000001;5698497.88
3444639075;matsimNetworkNode;732395.91;5699871.21
342283400;matsimNetworkNode;732357.42;5698674.819999999
2674634843;matsimNetworkNode;734492.5700000001;5698175.85
9546963698;matsimNetworkNode;734047.87;5700386.71
342279389;matsimNetworkNode;731894.75;5698634.35
2750656567;matsimNetworkNode;733596.73;5699126.05
392316869;matsimNetworkNode;730910.51;5697705.029999999
392316747;matsimNetworkNode;730841.95;5697633.8
270698850;matsimNetworkNode;735328.73;5698811.21
309247859;matsimNetworkNode;730949.51;5697779.529999999
31934405;matsimNetworkNode;734677.25;5699476.59
270698851;matsimNetworkNode;735456.99;5698523.6899999995
309247977;matsimNetworkNode;730802.28;5697881.42
cluster_1274290666_1294780490;matsimNetworkNode;735751.19;5699718.24
262380850;matsimNetworkNode;730920.74;5697962.4399999995
3377550098;matsimNetworkNode;737795.26;5700972.279999999
cluster_283699241_3093019160;matsimNetworkNode;734592.96;5700167.7299999995
303788038;matsimNetworkNode;734693.98;5698967.67
3109956801;matsimNetworkNode;731322.8600000001;5698637.72
309247987;matsimNetworkNode;730968.3;5697663.62
3109956802;matsimNetworkNode;731306.3;5698746.359999999
262380855;matsimNetworkNode;731141.8200000001;5697997.859999999
1197261780;matsimNetworkNode;736362.3400000001;5699686.9799999995
1197261787;matsimNetworkNode;735922.28;5700146.25
294926128;matsimNetworkNode;731759.3400000001;5697264.75
270698786;matsimNetworkNode;735407.6100000001;5698848.08
1197261669;matsimNetworkNode;736635.74;5699771.74
2166019117;matsimNetworkNode;731930.3200000001;5698538.68
cluster_26684387_26684411_3096907845_3096907854;matsimNetworkNode;732589.05;5698945.34
319057246;matsimNetworkNode;734662.88;5698409.7299999995
260623708;matsimNetworkNode;731468.6000000001;5698436.29
298329928;matsimNetworkNode;731050.43;5697513.89
317662734;matsimNetworkNode;731208.12;5697795.029999999
98985925;matsimNetworkNode;737651.31;5700641.87
cluster_1500870033_4795944874;matsimNetworkNode;733874.78;5698151.24
294926372;matsimNetworkNode;731328.21;5697597.02
319060405;matsimNetworkNode;734335.24;5699832.39
319060404;matsimNetworkNode;734285.54;5699815.24
3092250508;matsimNetworkNode;735709.56;5699970.199999999
342283515;matsimNetworkNode;732271.53;5698671.39
2166019103;matsimNetworkNode;731944.96;5698532.3
1714348829;matsimNetworkNode;730918.79;5698659.34
262381721;matsimNetworkNode;730687.56;5697882.779999999
303788015;matsimNetworkNode;734726.72;5698996.34
319062934;matsimNetworkNode;734465.75;5699740.42
1714348822;matsimNetworkNode;730913.3200000001;5698694.35
338387708;matsimNetworkNode;734933.89;5698821.43
264732747;matsimNetworkNode;736123.73;5699255.42
317954273;matsimNetworkNode;731155.74;5696820.51
313054557;matsimNetworkNode;733837.1100000001;5697914.06
402445430;matsimNetworkNode;731411.88;5696859.27
312295986;matsimNetworkNode;737617.73;5701069.029999999
1864721134;matsimNetworkNode;734279.66;5698575.75
261705951;matsimNetworkNode;732332.4;5697342.97
261705952;matsimNetworkNode;732501.47;5697164.029999999
294925373;matsimNetworkNode;732007.94;5697530.17
270706796;matsimNetworkNode;734646.21;5698498.21
cluster_270698274_334930895;matsimNetworkNode;735045.12;5698433.4799999995
317670697;matsimNetworkNode;732464.14;5698779.55
261705953;matsimNetworkNode;732674.26;5696978.88
cluster_2629687546_59603788;matsimNetworkNode;735431.25;5699081.62
cluster_261706053_4410409066;matsimNetworkNode;732375.03;5697046.319999999
313054320;matsimNetworkNode;733957.42;5698049.4799999995
317672626;matsimNetworkNode;731542.21;5697781.62
302360214;matsimNetworkNode;731416.5;5696932.27
317672624;matsimNetworkNode;731478.75;5697635.63
cluster_1727171185_298853699;matsimNetworkNode;732466.21;5698937.67
262686008;matsimNetworkNode;732371.65;5698419.27
262686009;matsimNetworkNode;732325.47;5698412.029999999
269339033;matsimNetworkNode;731291.44;5697265.54
cluster_262683156_262683421;matsimNetworkNode;732289.31;5698932.68
3095921928;matsimNetworkNode;734472.9;5699788.7299999995
4585601676;matsimNetworkNode;734829.3;5698614.8
270698414;matsimNetworkNode;735095.04;5698701.87
3092250848;matsimNetworkNode;735876.17;5700019.319999999
270706444;matsimNetworkNode;734293.8;5698410.63
2757782269;matsimNetworkNode;732727.8500000001;5699875.1
294926452;matsimNetworkNode;731468.18;5697405.24
1014713845;matsimNetworkNode;732804.95;5700154.18
317669571;matsimNetworkNode;732936.96;5698388.91
cluster_1516723068_7602325673;matsimNetworkNode;732760.05;5700027.92
260765319;matsimNetworkNode;731538.29;5698654.6899999995
319067137;matsimNetworkNode;733990.3500000001;5698720.68
1516723284;matsimNetworkNode;736348.1000000001;5699917.14
317672623;matsimNetworkNode;731457.23;5697781.9399999995
6682301728;matsimNetworkNode;736040.9;5699592.6
165155792;matsimNetworkNode;735868.88;5699113.31
cluster_1027084229_385297664;matsimNetworkNode;734491.95;5699260.699999999
30308505;matsimNetworkNode;734572.25;5699711.99
317670319;matsimNetworkNode;732871.88;5700169.51
262383800;matsimNetworkNode;731124.3600000001;5698146.77
30308501;matsimNetworkNode;735328.81;5699462.71
30308502;matsimNetworkNode;735230.49;5699685.09
30308504;matsimNetworkNode;734811.69;5699583.77
313053368;matsimNetworkNode;734574.17;5698382.319999999
313053369;matsimNetworkNode;734657.18;5698365.399999999
313054459;matsimNetworkNode;733890.05;5697968.66
1362010985;matsimNetworkNode;736094.4;5700032.46
270706572;matsimNetworkNode;733389.6000000001;5697656.31
294925370;matsimNetworkNode;732048.25;5697393.29
313054697;matsimNetworkNode;734431.5700000001;5698095.6899999995
270707267;matsimNetworkNode;734395.23;5698331.08
3093019153;matsimNetworkNode;734546.1000000001;5700081.279999999
31934457;matsimNetworkNode;734849.8500000001;5699540.47
3093019154;matsimNetworkNode;734598.31;5700134.79
59603269;matsimNetworkNode;735199.45;5699526.41
1362011012;matsimNetworkNode;736100.72;5700047.38
1362011011;matsimNetworkNode;736105.7;5700037.13
261722113;matsimNetworkNode;732384.18;5696862.029999999
123912443;matsimNetworkNode;735346.89;5699049.5
2578114731;matsimNetworkNode;735958.65;5699960.01
59603271;matsimNetworkNode;734709.6100000001;5699655.47
283192838;matsimNetworkNode;732384.28;5700060.96
59603275;matsimNetworkNode;735294.3600000001;5699560.46
59603396;matsimNetworkNode;734583.23;5699735.63
59603274;matsimNetworkNode;735106.65;5699490.2299999995
3096304356;matsimNetworkNode;734799.27;5699593.609999999
93809958;matsimNetworkNode;731225.3500000001;5697626.779999999
3093019155;matsimNetworkNode;734535.41;5700112.05
93809956;matsimNetworkNode;731215.68;5697434.91
3093019156;matsimNetworkNode;734608.67;5700104.88
913936707;matsimNetworkNode;736134.75;5699194.149999999
30237316;matsimNetworkNode;734333.16;5699677.14
59603277;matsimNetworkNode;735517.93;5699533.26
5775837671;matsimNetworkNode;731654.78;5697492.41
59603276;matsimNetworkNode;735480.8400000001;5699633.149999999
98988030;matsimNetworkNode;736683.87;5699961.89
270707278;matsimNetworkNode;734474.8200000001;5698356.5
6551714936;matsimNetworkNode;734527.47;5698583.109999999
31036081;matsimNetworkNode;736385.93;5699675.08
3096195837;matsimNetworkNode;735045.25;5699909.609999999
3092250829;matsimNetworkNode;735767.5800000001;5700039.069999999
1516723577;matsimNetworkNode;736344.13;5699926.97
4310157259;matsimNetworkNode;734177.04;5700114.72
59603282;matsimNetworkNode;735223.97;5699840.109999999
9546963700;matsimNetworkNode;734239.49;5698392.06
93809966;matsimNetworkNode;731581.9;5698789.399999999
cluster_145912340_145912343;matsimNetworkNode;732231.3;5699201.12
59603248;matsimNetworkNode;734747.66;5699503.24
cluster_375899076_4179661998;matsimNetworkNode;730843.4;5698496.72
4798784377;matsimNetworkNode;731886.37;5698354.359999999
3096195845;matsimNetworkNode;735388.48;5699903.569999999
4798784375;matsimNetworkNode;731889.92;5698329.08
319066498;matsimNetworkNode;734112.97;5698706.92
4310157252;matsimNetworkNode;734330.88;5700176.8
6044046562;matsimNetworkNode;732364.3500000001;5698935.7299999995
317664929;matsimNetworkNode;733499.4;5700180.34
4310157256;matsimNetworkNode;734226.51;5700137.6
59603252;matsimNetworkNode;735042.14;5699612.949999999
59603251;matsimNetworkNode;734537.3300000001;5699627.24
59603250;matsimNetworkNode;734619.3400000001;5699595.25
59603257;matsimNetworkNode;734588.79;5699151.359999999
59603256;matsimNetworkNode;734601.8300000001;5699447.56
59603255;matsimNetworkNode;734578.46;5699502.859999999
1516723228;matsimNetworkNode;732565.93;5700101.51
3093019162;matsimNetworkNode;734669.67;5700124.529999999
671938508;matsimNetworkNode;731590.99;5697399.49
954729913;matsimNetworkNode;732339.17;5698600.199999999
3093019164;matsimNetworkNode;734661.66;5700065.16
59603259;matsimNetworkNode;735144.39;5699392.02
59603258;matsimNetworkNode;734960.5;5699312.29
319064189;matsimNetworkNode;734209.43;5700023.92
cluster_262686725_342283317;matsimNetworkNode;732329.43;5698674.97
671494575;matsimNetworkNode;731589.73;5697232.359999999
4310157243;matsimNetworkNode;734714.5700000001;5700329.62
954729919;matsimNetworkNode;732188.3600000001;5698509.62
4310157237;matsimNetworkNode;734673.55;5700160.16
270746876;matsimNetworkNode;735320.78;5699263.199999999
cluster_317665513_5803901816;matsimNetworkNode;733752.66;5700282.83
26518478;matsimNetworkNode;731236.25;5696759.97
59603264;matsimNetworkNode;735158.78;5699796.819999999
59603262;matsimNetworkNode;734927.51;5699745.1
270707067;matsimNetworkNode;734465.15;5698258.99
3093019166;matsimNetworkNode;734624.74;5700060.42
59603268;matsimNetworkNode;735137.46;5699649.63
59603267;matsimNetworkNode;734985.5700000001;5699825.859999999
270707065;matsimNetworkNode;734535.75;5698304.319999999
59603266;matsimNetworkNode;735072.5900000001;5699738.8
59603265;matsimNetworkNode;734989.89;5699682.7299999995
6527908228;matsimNetworkNode;732231.66;5698784.1
6527908224;matsimNetworkNode;732244.13;5698733.3
256944653;matsimNetworkNode;734245.91;5699363.85
cluster_262382577_262680886;matsimNetworkNode;731067.55;5698561.51
2587885170;matsimNetworkNode;734907.51;5698796.49
276830088;matsimNetworkNode;731055.53;5697842.819999999
319064291;matsimNetworkNode;734069.53;5699972.46
4807072162;matsimNetworkNode;731870.8500000001;5698453.35
31950738;matsimNetworkNode;735965.73;5699143.31
4807072161;matsimNetworkNode;731875.54;5698423.109999999
165206211;matsimNetworkNode;735768.6100000001;5699719.06
3840389883;matsimNetworkNode;731441.31;5697622.12
2136714155;matsimNetworkNode;731844.63;5697399.819999999
82688110;matsimNetworkNode;731258.9;5696968.24
