Stop ID,Link ID,X,Y
12278798,263116374#1,736957.01,5696729.109999999
316059622,28745559#0,728302.96,5693084.58
312302426,-4594909,736365.72,5698928.04
316059623,28745559#1,728293.8200000001,5692993.04
287625609,26261848#3,740656.8,5690682.83
316059624,28745559#2,728286.14,5692898.859999999
147976637,14983088,740467.48,5693907.49
427695755,36788442#0,727782.45,5693416.319999999
6685662966,-711146296,738105.3500000001,5697561.96
130064622,-13860245#0,738856.22,5694329.06
6685662965,-62238168,738200.1100000001,5697583.81
130064623,-13860224,738857.87,5694363.7299999995
3444639055,-337371771,732450.52,5699562.9799999995
385297660,33701329#0,734331.42,5699217.54
130064620,13860222#3,738859.6100000001,5694192.06
265779456,-24658131,737592.71,5700397.97
6685662972,-4234752,738669.0,5697598.399999999
cluster_19815841_21633600_246764829,-330549160#1,739982.71,5694512.76
3315606201,37933063,729487.66,5690679.66
6685662971,-387618181,738691.3300000001,5697472.4799999995
147963327,14981559,739857.75,5694292.85
3893213228,-313090394,733571.64,5693060.51
289403420,108043427#0,742984.87,5691321.71
100014751,-125433243#0,735471.66,5689239.2299999995
130064638,-13860227,738676.54,5694188.4799999995
317587031,-30492474#0,731971.75,5688705.97
12351929,50994675,732382.81,5696303.81
25418926,-648869286,732574.41,5692080.16
289404767,-26414667#0,740034.3600000001,5690629.27
12351928,-16949756,732645.8400000001,5696539.79
25418927,-75689508#0,732153.23,5690952.569999999
395352874,187555588,727148.62,5692466.39
2049525274,1054270599,734240.6100000001,5692149.37
283227980,25962517,727707.56,5697413.279999999
294163927,23972045#0,731545.22,5688588.54
192297766,18639852#2,741081.96,5695135.17
30216563,-6188091#0,734772.4,5698940.96
30216566,4744884#0,734499.6000000001,5699536.609999999
30216565,-125111071#0,734436.77,5699385.06
259402512,120596061#3,736540.27,5693783.609999999
2014125533,3358736,736802.96,5695829.17
309246417,27181240#1,728084.5800000001,5697378.9399999995
274245770,25157250,727569.0700000001,5693329.79
1306891167,18820937,736407.41,5687561.84
2393736368,-230949890#0,729430.72,5695124.83
3444639075,27697508#1,732395.91,5699871.21
261667037,30245572#3,734219.64,5692096.87
67569064,177914625#2,738610.88,5691143.319999999
93775672,10638644,729275.65,5697771.71
130064643,13860227,738510.87,5694100.83
240475477,387618121,741490.24,5695624.67
12351930,-2731015#0,732075.27,5696460.04
5351890396,23158098#0,733297.01,5695822.72
5351890395,153662438,733248.67,5695837.649999999
196383589,-18968660,734866.65,5689347.21
10917284,258352159,735600.3200000001,5700184.01
10917280,312408273,735714.01,5700476.35
427695760,36788444#0,727814.93,5693536.449999999
427695763,-36788445,727760.13,5693693.6
1690724306,238363961,729991.1000000001,5684705.58
2586468800,-313090410#0,730122.65,5693194.39
1221256602,-80044573,734812.48,5692783.149999999
59694902,-4859716#0,734500.78,5691575.59
cluster_147958085_147959978,14980903#1,739489.56,5694332.069999999
344901852,28154785#0,727838.47,5697574.67
59694900,-19075441#0,734311.97,5691801.149999999
3187577371,282731356,729597.5800000001,5687296.92
3187577373,241497334,730301.81,5688475.17
1719964572,-159931453,731526.68,5691814.58
344901854,10639188#2,727880.44,5697576.699999999
7095887862,24582070#0,734953.51,5692678.569999999
282015659,-25960248,728980.65,5697327.38
3187577378,-954078335,730224.97,5688557.46
309246411,24335718#1,728079.44,5697291.29
3187577375,312850956#0,730369.5900000001,5688546.449999999
3187577374,312850963,730305.0700000001,5688533.96
9241260281,-1001171743,740716.64,5697891.63
282557849,-25903091,741416.5,5690309.96
2773962211,-60101103#0,732598.3400000001,5693776.74
282557850,-177914614,741399.47,5690246.21
181319976,17506078#3,732844.38,5695778.699999999
cluster_1842054148_310597318,173378049,738892.8200000001,5689892.68
130064662,-19785749,738658.04,5693765.05
181319977,17506078#1,732891.67,5695738.16
1197261669,-103699412,736635.74,5699771.74
130064660,13860229,738552.56,5693805.609999999
6475197116,690188571,730163.1100000001,5694528.39
6475197115,690188570,729839.94,5694469.63
6475197118,153174398,729074.77,5694984.88
6475197117,-690188572,729734.7,5694609.569999999
6475197119,-690188574,729414.52,5694845.899999999
3908763510,30654642#2,731398.8,5688458.43
6475197121,690188576,729557.0800000001,5694822.09
289404795,173219888#0,739886.1000000001,5690706.109999999
6475197120,2732454,729418.12,5694877.6
9241260279,-1001171745,740704.3200000001,5697957.47
391276447,34126634#0,729627.2,5684891.68
3746512686,371006697,742776.06,5685787.47
cluster_262237054_308299685,28077100,728281.29,5683138.199999999
316059653,28745167#0,728486.79,5693203.01
382102721,-33516259,742774.44,5693268.72
4705804899,477190612,730465.47,5688537.109999999
268527247,24705796#1,734270.3600000001,5695427.04
96608936,-10872448#0,731128.51,5686999.069999999
242614623,22617147,739827.94,5687545.31
298867657,21056376#0,731048.99,5696806.17
2590098578,26261873,740533.18,5690683.63
317954273,-28923715,731155.74,5696820.51
293587342,23450094#1,735782.67,5695751.399999999
297918230,205872730,734807.1000000001,5692642.91
293587340,26766665#0,735778.7,5695840.71
1999714707,-189332412#0,741473.3400000001,5689437.05
274245769,-25157250,727279.56,5693357.74
5490280174,242667486#1,739880.31,5694469.38
2042024794,-56064787#0,734070.41,5692788.84
3368192340,319686977,741873.55,5694131.18
265599428,24016570#2,736886.1100000001,5689286.59
93775636,10638685#2,729524.25,5697839.09
2590098571,59295402#1,740541.5,5689151.62
298867648,21056376#1,730951.01,5696830.8
cluster_1100446920_1100446930,-403939132,733908.14,5693217.9399999995
143576383,14572056#3,738264.17,5694958.84
3662761586,-25902956,743092.49,5692832.58
391956815,288981308#0,730831.14,5684798.97
289404774,173219888#1,739965.28,5690666.29
3368192335,337015759,741851.96,5694457.59
288379402,-26322148,728937.72,5689627.51
97657733,10956373,732654.99,5695917.93
262686008,24262586,732371.65,5698419.27
266647406,241497336#2,728784.1000000001,5691096.3
262686009,81921107#3,732325.47,5698412.029999999
788517479,834140382,734379.18,5693391.21
391277762,34126609#4,729933.51,5684719.13
369814619,35839990#1,733646.25,5692053.24
3908763508,255831308,728155.73,5685688.26
2590098564,-172507385#0,740511.3200000001,5689135.18
5208065389,-850593426,738826.96,5689358.279999999
144246474,315817433,737425.8200000001,5690284.71
2049525297,167877298,734182.4,5692176.21
2049525295,194448312,734213.65,5692205.83
245471094,387621592#1,741185.65,5692604.41
60302623,3701844#1,737989.77,5697544.02
3368192321,329871337#0,741913.15,5694644.25
2078513064,-1004976740,734166.8,5696463.67
3143677916,-265930890#0,739948.94,5691467.029999999
