dist_group,main_mode,mean_dist,share
0 - 1000,bike,625.6709239066038,0.1498342300634102
0 - 1000,car,673.6384671092165,0.07636039086702505
0 - 1000,pt,670.1827034315171,0.014101280024101288
0 - 1000,ride,707.110835224723,0.024163955654332738
0 - 1000,walk,476.61610403606227,0.7355401433911307
1000 - 2000,bike,1413.529565635515,0.2976757821440052
1000 - 2000,car,1516.4289451983675,0.18314890770726613
1000 - 2000,pt,1518.669203788909,0.13345080823082492
1000 - 2000,ride,1521.2388298001295,0.0799250711582756
1000 - 2000,walk,1315.3774223589255,0.30579943075962823
2000 - 5000,bike,3225.5356519111447,0.30772535018665886
2000 - 5000,car,3428.1135956590256,0.2767741787199647
2000 - 5000,pt,3500.8253179738435,0.2595885822887284
2000 - 5000,ride,3486.3862346869414,0.10835558269878572
2000 - 5000,walk,2801.165158479957,0.04755630610586222
5000 - 10000,bike,6456.922399742452,0.115790702653595
5000 - 10000,car,7169.54499240835,0.47486333861330693
5000 - 10000,pt,6940.885272741965,0.2842637177313413
5000 - 10000,ride,7038.083385646529,0.11736304734076954
5000 - 10000,walk,8068.343472517595,0.00771919366098719
10000 - 20000,bike,11501.183789143368,0.05251179348646703
10000 - 20000,car,13226.472750426878,0.6472724582139662
10000 - 20000,pt,12902.874110830719,0.2016743449840846
10000 - 20000,ride,13106.119597514538,0.09771615235870768
10000 - 20000,walk,13810.0,0.0008252509567746149
20000+,bike,26308.486401621365,0.00416730209981478
20000+,car,45398.01656256677,0.7394682209830556
20000+,pt,49455.60522417894,0.1698405150810158
20000+,ride,39425.596734908366,0.08652396183611383
20000+,walk,,0.0
