dist_group,main_mode,mean_dist,share
0 - 1000,bike,647.1320211664759,0.04360576137790145
0 - 1000,car,715.5733490038705,0.012240240940456974
0 - 1000,pt,802.3537970116731,0.002638436437215161
0 - 1000,ride,729.0617251936227,0.00716994170043107
0 - 1000,walk,499.1497285817478,0.16817058966030335
1000 - 2000,bike,1410.8376133243098,0.05161256124243341
1000 - 2000,car,1500.735907403122,0.026765790929684893
1000 - 2000,pt,1533.2653903592868,0.018536760987114285
1000 - 2000,ride,1487.1708306254736,0.015005058574293151
1000 - 2000,walk,1302.3249718162533,0.04581883683363964
2000 - 5000,bike,3202.914928652807,0.09292657641457054
2000 - 5000,car,3405.7134444946573,0.07643709976165831
2000 - 5000,pt,3498.796011328994,0.07157480705949293
2000 - 5000,ride,3493.776275422576,0.032662932075985494
2000 - 5000,walk,2618.6861353776153,0.012301137783270974
5000 - 10000,bike,6488.004797551106,0.025021931407638667
5000 - 10000,car,7286.224192866411,0.08718610903327519
5000 - 10000,pt,6911.388240153839,0.04996496985474348
5000 - 10000,ride,7091.697700844432,0.023168010427770593
5000 - 10000,walk,8512.500292899185,0.0015218798747332046
10000 - 20000,bike,11870.106118880658,0.0042008516746133645
10000 - 20000,car,13314.789717119513,0.04836372612101472
10000 - 20000,pt,13268.066606129496,0.015910944000784487
10000 - 20000,ride,12510.881840420803,0.0065790183525187155
10000 - 20000,walk,,0.0
20000+,bike,39557.16129260366,0.000501334015678044
20000+,car,45145.502240349495,0.04564014147534626
20000+,pt,39740.679248392946,0.008290863480069695
20000+,ride,38947.640630839625,0.006183688503361974
20000+,walk,,0.0
